user_id,age,occupation,monthly_income,is_variable_income,date,amount,type,category,merchant,payment_mode,recurring,day_type,persona_label,year_month,running_balance,day_of_week,day_type_num,category_enc,merchant_enc,final_anomaly
user_001_v1,24,Software Engineer,85000,False,2025-10-01,85000,income,Salary,Tech Corp,Bank Transfer,False,,salaried_low,2025-10,85000,2,,9,44,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646,3,0.0,3,42,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252,4,0.0,3,39,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327,6,0.0,8,22,0.0
