user_id,year_month,total_spending_x,total_income,savings_rate,monthly_avg_transaction_amount,savings_level,income_3m_cv,income_volatility_level,total_spending_y,top_merchants,top_merchants_spend,merchant_concentration,is_high_merchant_dependency,total_spending,recurring_expense_total,recurring_to_spend_ratio,recurring_burden_level,cash_vs_digital_ratio,payment_preference,avg_daily_spend,avg_weekend_fraction,weekend_pattern,mean_daily_spend,std_daily_spend,spike_threshold,spike_count,max_spike_spend,has_spike,overspend_category_count,top_overspend_category,top_overspend_share_change,prev_total_spending,spend_change_pct,spending_trend
user_001_v1,2025-10,62760,85000,0.2616470588235294,8208.888888888889,medium,0.0,low,62760,"['Landlord', 'Makemytrip', 'Myntra', 'Mutual Fund', 'Restaurant']","[16925, 9590, 7334, 5641, 4739]",0.7047323135755258,True,62760,25609,0.40804652644996814,high,0.0,digital_heavy,3691.764705882353,0.23529411764705882,weekday_heavy,3691.764705882353,4228.18714496792,12148.138995818194,1.0,16925.0,True,0.0,None,0.0,0.0,0.0,no_prev_data
user_001_v1,2025-11,50788,85000,0.4024941176470588,11315.666666666666,high,0.0,low,50788,"['Landlord', 'Investment Vendor', 'Mutual Fund', 'Transport Vendor', 'Electricity Board']","[21937, 18321, 5310, 1791, 1472]",0.9614672757344255,True,50788,50788,1.0,high,0.0130936441679136,digital_heavy,5643.111111111111,0.2222222222222222,weekday_heavy,5643.111111111111,6368.68579578488,18380.48270268087,1.0,21937.0,True,2.0,Investment,37.540498518366476,62760.0,-0.19075844486934354,decrease
user_001_v1,2025-12,67905,85000,0.2011176470588235,15290.5,medium,0.0,low,67905,"['Landlord', 'Mutual Fund', 'Shopping Vendor', 'Electricity Board', 'Health Vendor']","[34163, 12776, 10981, 3429, 2243]",0.9364847949340991,True,67905,67905,1.0,high,0.0,digital_heavy,7545.0,0.0,weekday_heavy,7545.0,10336.620337421706,28218.24067484341,1.0,34163.0,True,0.0,None,0.0,50788.0,0.3370284319130503,increase
user_001_v1,2026-01,51389,85000,0.3954235294117647,11365.75,medium,0.0,low,51389,"['Landlord', 'Travel Vendor', 'Mutual Fund', 'Shopping Vendor', 'Electricity Board']","[24134, 11419, 8287, 4703, 963]",0.9633579170639631,True,51389,51389,1.0,high,0.0039308023117787,digital_heavy,5138.9,0.2,weekday_heavy,5138.9,7108.48462683855,19355.869253677098,1.0,24871.0,True,0.0,None,0.0,67905.0,-0.24322214858994182,decrease
user_001_v1,2026-02,70647,85000,0.1688588235294117,9727.9375,low,0.0,low,70647,"['Shopping Vendor', 'Landlord', 'Travel Vendor', 'Entertainment Vendor', 'Mutual Fund']","[18152, 17064, 12475, 8672, 7145]",0.898948292213399,True,70647,70647,1.0,high,0.0,digital_heavy,6422.454545454545,0.09090909090909091,weekday_heavy,6422.454545454545,5115.974507073388,16654.40355960132,1.0,17064.0,True,2.0,Shopping,16.542179129495246,51389.0,0.37474946000116754,increase
user_001_v1,2026-03,60377,85000,0.2896823529411764,13216.09090909091,medium,0.0,low,60377,"['Landlord', 'Mutual Fund', 'Shopping Vendor', 'Entertainment Vendor', 'Food Vendor']","[31837, 11353, 9754, 3602, 1491]",0.9612435198833993,True,60377,60377,1.0,high,0.0596584792222203,digital_heavy,7547.125,0.125,weekday_heavy,7547.125,9769.099951345313,27085.324902690627,1.0,31837.0,True,1.0,Rent,28.57645245141377,70647.0,-0.14537064560420118,decrease
user_001_v1,2026-04,50345,85000,0.4077058823529412,9023.0,high,0.0,low,50345,"['Landlord', 'Shopping Vendor', 'Travel Vendor', 'Mutual Fund', 'Food Vendor']","[15771, 13220, 8903, 7547, 1911]",0.9405502035951931,True,50345,50345,1.0,high,0.0213923924918065,digital_heavy,5034.5,0.2,weekday_heavy,5034.5,5058.619401575888,15151.738803151777,1.0,15771.0,True,1.0,Shopping,10.103655760890085,60377.0,-0.16615598655117014,decrease
user_001_v1,2026-05,77683,85000,0.0860823529411764,12514.076923076924,low,0.0,low,77683,"['Landlord', 'Investment Vendor', 'Mutual Fund', 'Food Vendor', 'Electricity Board']","[29429, 25594, 11994, 3162, 2421]",0.9345674085707297,True,77683,77683,1.0,high,0.0,digital_heavy,7768.3,0.2,weekday_heavy,7768.3,9028.761355246908,25825.822710493816,1.0,29429.0,True,1.0,Investment,33.39582574403934,50345.0,0.5430132088588737,increase
user_001_v1,2026-06,52542,85000,0.3818588235294117,17192.75,medium,0.0,low,52542,"['Landlord', 'Mutual Fund', 'Investment Vendor', 'Electricity Board', 'Health Vendor']","[32286, 9675, 8003, 1570, 400]",0.9884283049750676,True,52542,52542,1.0,high,0.0,digital_heavy,7506.0,0.0,weekday_heavy,7506.0,10748.114399412445,29002.22879882489,1.0,32286.0,True,1.0,Rent,23.564535066222852,77683.0,-0.3236358019129024,decrease
user_001_v1,2026-07,50219,85000,0.4091882352941176,8451.1875,high,0.0,low,50219,"['Landlord', 'Mutual Fund', 'Shopping Vendor', 'Food Vendor', 'Travel Vendor']","[16718, 7913, 6985, 6907, 5870]",0.8839881319819192,True,50219,50219,1.0,high,0.118919134192238,digital_heavy,3587.0714285714284,0.14285714285714285,weekday_heavy,3587.0714285714284,4221.234982870801,12029.54139431303,1.0,16718.0,True,0.0,None,0.0,52542.0,-0.044212249248220474,stable
