user_id,age,occupation,monthly_income,is_variable_income,date,amount,type,category,merchant,payment_mode,recurring,day_type,persona_label,year_month,running_balance
user_001_v1,24,Software Engineer,85000,False,2025-10-01,85000,income,Salary,Tech Corp,Bank Transfer,False,,salaried_low,2025-10,85000
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,expense,Food,Swiggy,UPI,False,weekday,salaried_low,2025-10,83646
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,expense,Food,Starbucks,Credit Card,False,weekday,salaried_low,2025-10,83252
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,expense,Rent,Landlord,Bank Transfer,True,weekday,salaried_low,2025-10,66327
user_001_v1,24,Software Engineer,85000,False,2025-10-06,-2820,expense,Shopping,Amazon,Credit Card,False,weekday,salaried_low,2025-10,63507
user_001_v1,24,Software Engineer,85000,False,2025-10-07,-3949,expense,Entertainment,PVR Cinemas,Debit Card,False,weekend,salaried_low,2025-10,59558
user_001_v1,24,Software Engineer,85000,False,2025-10-08,-4739,expense,Food,Restaurant,Credit Card,False,weekend,salaried_low,2025-10,54819
user_001_v1,24,Software Engineer,85000,False,2025-10-10,-224,expense,Subscriptions,Netflix,Credit Card,True,weekday,salaried_low,2025-10,54595
user_001_v1,24,Software Engineer,85000,False,2025-10-10,-337,expense,Subscriptions,Spotify,UPI,True,weekday,salaried_low,2025-10,54258
user_001_v1,24,Software Engineer,85000,False,2025-10-12,-959,expense,Food,Zomato,UPI,False,weekday,salaried_low,2025-10,53299
user_001_v1,24,Software Engineer,85000,False,2025-10-14,-7334,expense,Shopping,Myntra,Credit Card,False,weekend,salaried_low,2025-10,45965
user_001_v1,24,Software Engineer,85000,False,2025-10-15,-203,expense,Transport,Uber,UPI,False,weekday,salaried_low,2025-10,45762
user_001_v1,24,Software Engineer,85000,False,2025-10-16,-5641,expense,Investment,Mutual Fund,Bank Transfer,True,weekday,salaried_low,2025-10,40121
user_001_v1,24,Software Engineer,85000,False,2025-10-18,-1692,expense,Health,Pharmacy,UPI,False,weekday,salaried_low,2025-10,38429
user_001_v1,24,Software Engineer,85000,False,2025-10-20,-9590,expense,Travel,MakeMyTrip,Credit Card,False,weekday,salaried_low,2025-10,28839
user_001_v1,24,Software Engineer,85000,False,2025-10-22,-507,expense,Food,Cafe Coffee Day,Debit Card,False,weekend,salaried_low,2025-10,28332
user_001_v1,24,Software Engineer,85000,False,2025-10-25,-2482,expense,Utilities,Electricity Board,UPI,True,weekday,salaried_low,2025-10,25850
user_001_v1,24,Software Engineer,85000,False,2025-10-28,-3610,expense,Shopping,Flipkart,Credit Card,False,weekend,salaried_low,2025-10,22240
user_001_v1,24,Software Engineer,85000,False,2025-11-01,85000,income,Salary,Tech Corp,Bank Transfer,True,weekday,salaried_low,2025-11,107240
user_001_v1,24,Software Engineer,85000,False,2025-11-03,-665,expense,Transport,Transport Vendor,Cash,False,weekday,salaried_low,2025-11,106575
user_001_v1,24,Software Engineer,85000,False,2025-11-03,-1126,expense,Transport,Transport Vendor,UPI,False,weekday,salaried_low,2025-11,105449
