user_id,year_month,total_spending_x,total_income,savings_rate,monthly_avg_transaction_amount,savings_level,income_3m_cv,income_volatility_level,total_spending_y,top_merchants,top_merchants_spend,merchant_concentration,is_high_merchant_dependency,total_spending,recurring_expense_total,recurring_to_spend_ratio,recurring_burden_level,cash_vs_digital_ratio,payment_preference,avg_daily_spend,avg_weekend_fraction,weekend_pattern,mean_daily_spend,std_daily_spend,spike_threshold,spike_count,max_spike_spend,has_spike,overspend_category_count,top_overspend_category,top_overspend_share_change,prev_total_spending,spend_change_pct,spending_trend,category_spend_dict,rb_low_or_negative_savings,rb_high_income_volatility,rb_high_merchant_dependency,rb_high_recurring_burden,rb_weekend_heavy_pattern,rb_extreme_payment_preference,rb_has_spending_spike,rb_has_category_overspend,stat_spend_zscore,stat_income_zscore,stat_savings_zscore,stat_spend_unusually_high,stat_spend_unusually_low,stat_savings_unusually_low,stat_spike_intensity,comp_prev_spending,comp_spending_change_pct,comp_spending_increase,comp_spending_decrease,comp_prev_income,comp_income_change_pct,comp_income_increase,comp_income_decrease,comp_category_shift_count,comp_has_category_shift,comp_prev_cash_ratio,comp_cash_ratio_change,comp_cash_usage_increase,comp_cash_usage_decrease,comp_weekend_share,comp_prev_weekend_share,comp_weekend_shift,comp_trend_3mo,comp_trend_strength
user_001_v1,2025-10,62760,85000,0.2616470588235294,8208.888888888889,medium,0.0,low,62760,"['Landlord', 'Makemytrip', 'Myntra', 'Mutual Fund', 'Restaurant']","[16925, 9590, 7334, 5641, 4739]",0.7047323135755258,True,62760,25609,0.4080465264499681,high,0.0,digital_heavy,3691.764705882353,0.2352941176470588,weekday_heavy,3691.764705882353,4228.18714496792,12148.138995818194,1.0,16925.0,True,0.0,,0.0,0.0,0.0,no_prev_data,{},False,False,True,True,False,True,True,False,0.21338212330097484,,-0.21338212330097442,False,False,False,4.584528362014021,,,False,False,,,False,False,0,False,,,False,False,,,False,,
user_001_v1,2025-11,50788,85000,0.4024941176470588,11315.666666666666,high,0.0,low,50788,"['Landlord', 'Investment Vendor', 'Mutual Fund', 'Transport Vendor', 'Electricity Board']","[21937, 18321, 5310, 1791, 1472]",0.9614672757344256,True,50788,50788,1.0,high,0.0130936441679136,digital_heavy,5643.111111111111,0.2222222222222222,weekday_heavy,5643.111111111111,6368.68579578488,18380.48270268087,1.0,21937.0,True,2.0,Investment,37.54049851836648,62760.0,-0.1907584448693435,decrease,{},False,False,True,True,False,True,True,True,-0.9630200444786526,,0.9630200444786529,False,False,False,3.8873946601559424,62760.0,-0.19075844486934354,False,True,85000.0,0.0,False,False,0,False,0.0,0.0130936441679136,False,False,,,False,,
user_001_v1,2025-12,67905,85000,0.2011176470588235,15290.5,medium,0.0,low,67905,"['Landlord', 'Mutual Fund', 'Shopping Vendor', 'Electricity Board', 'Health Vendor']","[34163, 12776, 10981, 3429, 2243]",0.9364847949340992,True,67905,67905,1.0,high,0.0,digital_heavy,7545.0,0.0,weekday_heavy,7545.0,10336.620337421706,28218.24067484341,1.0,34163.0,True,0.0,,0.0,50788.0,0.3370284319130503,increase,{},False,False,True,True,False,True,True,False,0.7189441975764663,,-0.7189441975764659,False,False,False,4.5278992710404244,50788.0,0.3370284319130503,True,False,85000.0,0.0,False,False,0,False,0.0130936441679136,-0.0130936441679136,False,False,,,False,60484.333333333336,0.12268741767840703
user_001_v1,2026-01,51389,85000,0.3954235294117647,11365.75,medium,0.0,low,51389,"['Landlord', 'Travel Vendor', 'Mutual Fund', 'Shopping Vendor', 'Electricity Board']","[24134, 11419, 8287, 4703, 963]",0.9633579170639632,True,51389,51389,1.0,high,0.0039308023117787,digital_heavy,5138.9,0.2,weekday_heavy,5138.9,7108.48462683855,19355.869253677098,1.0,24871.0,True,0.0,,0.0,67905.0,-0.2432221485899418,decrease,{},False,False,True,True,False,True,True,False,-0.9039641053844699,,0.9039641053844703,False,False,False,4.839751697834167,67905.0,-0.24322214858994182,False,True,85000.0,0.0,False,False,0,False,0.0,0.0039308023117787,False,False,,,False,56694.0,-0.09357251208240731
user_001_v1,2026-02,70647,85000,0.1688588235294117,9727.9375,low,0.0,low,70647,"['Shopping Vendor', 'Landlord', 'Travel Vendor', 'Entertainment Vendor', 'Mutual Fund']","[18152, 17064, 12475, 8672, 7145]",0.898948292213399,True,70647,70647,1.0,high,0.0,digital_heavy,6422.454545454545,0.0909090909090909,weekday_heavy,6422.454545454545,5115.974507073388,16654.40355960132,1.0,17064.0,True,2.0,Shopping,16.542179129495246,51389.0,0.3747494600011675,increase,{},True,False,True,True,False,True,True,True,0.9883807782690606,,-0.9883807782690606,False,False,False,2.656928107350631,51389.0,0.37474946000116754,True,False,85000.0,0.0,False,False,0,False,0.0039308023117787,-0.0039308023117787,False,False,,,False,63313.666666666664,0.11582544053153351
user_001_v1,2026-03,60377,85000,0.2896823529411764,13216.09090909091,medium,0.0,low,60377,"['Landlord', 'Mutual Fund', 'Shopping Vendor', 'Entertainment Vendor', 'Food Vendor']","[31837, 11353, 9754, 3602, 1491]",0.9612435198833992,True,60377,60377,1.0,high,0.0596584792222203,digital_heavy,7547.125,0.125,weekday_heavy,7547.125,9769.099951345312,27085.324902690627,1.0,31837.0,True,1.0,Rent,28.57645245141377,70647.0,-0.1453706456042011,decrease,{},False,False,True,True,False,True,True,True,-0.020778114405244026,,0.02077811440524392,False,False,False,4.21842754691356,70647.0,-0.14537064560420118,False,True,85000.0,0.0,False,False,0,False,0.0,0.0596584792222203,False,False,,,False,60804.333333333336,-0.007028007872245987
user_001_v1,2026-04,50345,85000,0.4077058823529412,9023.0,high,0.0,low,50345,"['Landlord', 'Shopping Vendor', 'Travel Vendor', 'Mutual Fund', 'Food Vendor']","[15771, 13220, 8903, 7547, 1911]",0.9405502035951931,True,50345,50345,1.0,high,0.0213923924918065,digital_heavy,5034.5,0.2,weekday_heavy,5034.5,5058.619401575888,15151.738803151777,1.0,15771.0,True,1.0,Shopping,10.103655760890083,60377.0,-0.1661559865511701,decrease,{},False,False,True,True,False,True,True,True,-1.0065504621470769,,1.0065504621470778,False,False,False,3.132585162379581,60377.0,-0.16615598655117014,False,True,85000.0,0.0,False,False,0,False,0.0596584792222203,-0.0382660867304138,False,False,,,False,60456.333333333336,-0.16725019159834373
user_001_v1,2026-05,77683,85000,0.0860823529411764,12514.076923076924,low,0.0,low,77683,"['Landlord', 'Investment Vendor', 'Mutual Fund', 'Food Vendor', 'Electricity Board']","[29429, 25594, 11994, 3162, 2421]",0.9345674085707296,True,77683,77683,1.0,high,0.0,digital_heavy,7768.3,0.2,weekday_heavy,7768.3,9028.761355246908,25825.822710493816,1.0,29429.0,True,1.0,Investment,33.39582574403934,50345.0,0.5430132088588737,increase,{},True,False,True,True,False,True,True,True,1.679757795684485,,-1.6797577956844851,False,False,True,3.788344940334436,50345.0,0.5430132088588737,True,False,85000.0,0.0,False,False,0,False,0.0213923924918065,-0.0213923924918065,False,False,,,False,62801.666666666664,0.23695761789761424
user_001_v1,2026-06,52542,85000,0.3818588235294117,17192.75,medium,0.0,low,52542,"['Landlord', 'Mutual Fund', 'Investment Vendor', 'Electricity Board', 'Health Vendor']","[32286, 9675, 8003, 1570, 400]",0.9884283049750676,True,52542,52542,1.0,high,0.0,digital_heavy,7506.0,0.0,weekday_heavy,7506.0,10748.114399412443,29002.22879882489,1.0,32286.0,True,1.0,Rent,23.56453506622285,77683.0,-0.3236358019129024,decrease,{},False,False,True,True,False,True,True,True,-0.7906671040939662,,0.7906671040939662,False,False,False,4.301358912869704,77683.0,-0.3236358019129024,False,True,85000.0,0.0,False,False,0,False,0.0,0.0,False,False,,,False,60190.0,-0.12706429639474995
user_001_v1,2026-07,50219,85000,0.4091882352941176,8451.1875,high,0.0,low,50219,"['Landlord', 'Mutual Fund', 'Shopping Vendor', 'Food Vendor', 'Travel Vendor']","[16718, 7913, 6985, 6907, 5870]",0.8839881319819192,True,50219,50219,1.0,high,0.118919134192238,digital_heavy,3587.0714285714284,0.1428571428571428,weekday_heavy,3587.0714285714284,4221.234982870801,12029.54139431303,1.0,16718.0,True,0.0,,0.0,52542.0,-0.0442122492482204,stable,{},False,False,True,True,False,True,True,False,-1.0189315741701501,,1.0189315741701501,False,False,False,4.660626456122185,52542.0,-0.044212249248220474,False,False,85000.0,0.0,False,False,0,False,0.0,0.118919134192238,True,False,,,False,60148.0,-0.16507614550774755
